igre,disciplina,mesto,drzava,ime,rezultat 
Squaw Valley 1960,500m-women,4,URS,Tamara Rylova,46.200
Squaw Valley 1960,500m-women,5,JPN,Hatsue Nagakubo Takamizawa,46.600
Squaw Valley 1960,500m-women,6,URS,Klara Guseva,46.800
Squaw Valley 1960,500m-women,6,POL,Elwira Seroczynska,46.800
Squaw Valley 1960,500m-women,8,JPN,Fumie Hama,47.400
Squaw Valley 1960,500m-women,9,CAN,Doreen Ryan,47.700
Squaw Valley 1960,500m-women,10,USA,Kathleen Mulholland,47.900
Squaw Valley 1960,500m-women,11,FIN,Iris H. Sihvonen,48.100
Squaw Valley 1960,500m-women,12,POL,Helena Pilejczyk,48.200
Squaw Valley 1960,500m-women,13,FRA,Françoise Lucas,48.300
Squaw Valley 1960,500m-women,14,FIN,Eevi Huttunen,48.600
Squaw Valley 1960,500m-women,15,SWE,Christina Scherling,48.700
Squaw Valley 1960,500m-women,16,USA,Jeanne Omelenchuk,49.300
Squaw Valley 1960,500m-women,17,CAN,Margaret A. Robb,50.000
Squaw Valley 1960,500m-women,18,GER,Siegrit Behrenz,50.200
Squaw Valley 1960,500m-women,19,JPN,Yoshiko Takano,50.300
Squaw Valley 1960,500m-women,20,GER,Nathalie Liebknecht,51.400
Squaw Valley 1960,500m-women,21,KOR,Kyung Hoy Kim,53.200
Squaw Valley 1960,500m-women,22,KOR,Hye Ja Han,53.800
Squaw Valley 1960,1000m-women,1,URS,Klara Guseva,00:01:34.100
Squaw Valley 1960,1000m-women,2,GER,Helga Haase,00:01:34.300
Squaw Valley 1960,1000m-women,3,URS,Tamara Rylova,00:01:34.800
Squaw Valley 1960,1000m-women,4,URS,Lidiya Skoblikova,00:01:35.300
Squaw Valley 1960,1000m-women,5,POL,Helena Pilejczyk,00:01:35.800
Squaw Valley 1960,1000m-women,5,JPN,Hatsue Nagakubo Takamizawa,00:01:35.800
Squaw Valley 1960,1000m-women,7,JPN,Fumie Hama,00:01:36.100
Squaw Valley 1960,1000m-women,8,USA,Jeanne Ashworth,00:01:36.500
Squaw Valley 1960,1000m-women,9,FIN,Eevi Huttunen,00:01:37.200
Squaw Valley 1960,1000m-women,10,FIN,Iris H. Sihvonen,00:01:37.300
Squaw Valley 1960,1000m-women,11,SWE,Christina Scherling,00:01:37.500
Squaw Valley 1960,1000m-women,12,SWE,Elsa Einarsson,00:01:38.000
Squaw Valley 1960,1000m-women,13,CAN,Doreen Ryan,00:01:38.100
Squaw Valley 1960,1000m-women,14,FRA,Françoise Lucas,00:01:38.400
Squaw Valley 1960,1000m-women,15,USA,Jeanne Omelenchuk,00:01:39.800
Squaw Valley 1960,1000m-women,16,JPN,Yoshiko Takano,00:01:39.900
Squaw Valley 1960,1000m-women,17,GER,Nathalie Liebknecht,00:01:43.500
Squaw Valley 1960,1000m-women,18,GER,Siegrit Behrenz,00:01:43.800
Squaw Valley 1960,1000m-women,19,CAN,Margaret A. Robb,00:01:45.800
Squaw Valley 1960,1000m-women,20,KOR,Hye Ja Han,00:01:48.800
Squaw Valley 1960,1500m-men,1,NOR,Roald Aas,00:02:10.400
Squaw Valley 1960,1500m-men,1,URS,Yevgeny Grishin,00:02:10.400
Squaw Valley 1960,1500m-men,3,URS,Boris Stenin,00:02:11.500
Squaw Valley 1960,1500m-men,4,FIN,Jouko Ilmari Jokinen,00:02:12.000
Squaw Valley 1960,1500m-men,5,SWE,Per Olof Brogren,00:02:13.100
Squaw Valley 1960,1500m-men,5,FIN,Juhani Jouko Järvinen,00:02:13.100
Squaw Valley 1960,1500m-men,7,FIN,Toivo Salonen,00:02:13.100
Squaw Valley 1960,1500m-men,8,FRA,André Kouprianoff,00:02:13.300
Squaw Valley 1960,1500m-men,9,GER,Helmut Kuhnert,00:02:13.600
Squaw Valley 1960,1500m-men,10,FRA,Raymond Gilloz,00:02:14.200
Squaw Valley 1960,1500m-men,11,NOR,Knut Johannesen,00:02:14.500
Squaw Valley 1960,1500m-men,12,URS,Gennady Voronin,00:02:14.700
Squaw Valley 1960,1500m-men,13,DEN,Kurt R. Stille,00:02:15.800
Squaw Valley 1960,1500m-men,14,AUS,Colin Hickey,00:02:16.100
Squaw Valley 1960,1500m-men,15,NED,Wim De Graaff,00:02:16.500
Squaw Valley 1960,1500m-men,15,SWE,Gunnar Sjölin,00:02:16.500
Squaw Valley 1960,1500m-men,17,USA,Richard Howard Hunt,00:02:17.700
Squaw Valley 1960,1500m-men,18,SWE,Sven Olof Dahlberg,00:02:18.300
Squaw Valley 1960,1500m-men,18,GER,Manfred Schüler,00:02:18.300
Squaw Valley 1960,1500m-men,20,ITA,Mario Gios,00:02:18.600
Squaw Valley 1960,1500m-men,21,JPN,Fumio Nagakubo,00:02:18.700
Squaw Valley 1960,1500m-men,22,USA,Floyd Curtis Bedbury,00:02:18.900
Squaw Valley 1960,1500m-men,23,FIN,Keijo Tapiovaara,00:02:19.200
Squaw Valley 1960,1500m-men,24,AUT,Hermann Strutz,00:02:19.400
Squaw Valley 1960,1500m-men,25,ITA,Antonio Nitto,00:02:19.600
Squaw Valley 1960,1500m-men,26,GBR,Terence Monaghan,00:02:19.900
Squaw Valley 1960,1500m-men,27,ITA,Renato De Riva,00:02:20.600
Squaw Valley 1960,1500m-men,28,SWE,Bo Karenus,00:02:21.100
Squaw Valley 1960,1500m-men,29,JPN,Yoshitaka Hori,00:02:21.700
Squaw Valley 1960,1500m-men,29,USA,Keith Harold Meyer,00:02:21.700
Squaw Valley 1960,1500m-men,31,GER,Harald Norden,00:02:22.100
Squaw Valley 1960,1500m-men,31,URS,Lev Zaitzev,00:02:22.100
Squaw Valley 1960,1500m-men,33,JPN,Takeo Mizoo,00:02:22.600
Squaw Valley 1960,1500m-men,34,JPN,Shuji Kobayashi,00:02:23.000
Squaw Valley 1960,1500m-men,35,USA,"Eddie Rudolph, Jr.",00:02:23.100
Squaw Valley 1960,1500m-men,36,CAN,Ralf Olin,00:02:23.500
Squaw Valley 1960,1500m-men,37,AUS,Edward Roy Tutty,00:02:23.800
Squaw Valley 1960,1500m-men,38,GER,Günter Tilch,00:02:24.800
Squaw Valley 1960,1500m-men,39,NOR,Hroar Elvenes,00:02:24.900
Squaw Valley 1960,1500m-men,40,GBR,Thomas Alfred Malkin,00:02:25.000
Squaw Valley 1960,1500m-men,41,KOR,Yeong Jang,00:02:25.300
Squaw Valley 1960,1500m-men,42,KOR,Young Bai Choi,00:02:26.700
Squaw Valley 1960,1500m-men,43,CAN,John Sands,00:02:28.400
Squaw Valley 1960,1500m-men,44,KOR,In Won Jang,00:02:30.700
Squaw Valley 1960,1500m-men,45,CAN,Larry Mason,00:02:35.300
Squaw Valley 1960,1500m-women,1,URS,Lidiya Skoblikova,00:02:25.200
Squaw Valley 1960,1500m-women,2,POL,Elwira Seroczynska,00:02:25.700
Squaw Valley 1960,1500m-women,3,POL,Helena Pilejczyk,00:02:27.100
Squaw Valley 1960,1500m-women,4,URS,Klara Guseva,00:02:28.700
Squaw Valley 1960,1500m-women,5,URS,Valentina Stenina,00:02:29.200
Squaw Valley 1960,1500m-women,6,FIN,Iris H. Sihvonen,00:02:29.700
Squaw Valley 1960,1500m-women,7,SWE,Christina Scherling,00:02:31.500
Squaw Valley 1960,1500m-women,8,GER,Helga Haase,00:02:31.700
Squaw Valley 1960,1500m-women,9,SWE,Elsa Einarsson,00:02:32.900
Squaw Valley 1960,1500m-women,10,JPN,Fumie Hama,00:02:33.300
Squaw Valley 1960,1500m-women,11,USA,Jeanne Ashworth,00:02:33.700
Squaw Valley 1960,1500m-women,12,JPN,Yoshiko Takano,00:02:34.000
Squaw Valley 1960,1500m-women,13,CAN,Doreen Ryan,00:02:34.500
Squaw Valley 1960,1500m-women,14,FIN,Eevi Huttunen,00:02:35.100
Squaw Valley 1960,1500m-women,15,USA,Jeanne Omelenchuk,00:02:36.400
Squaw Valley 1960,1500m-women,16,GER,Inge Görmer,00:02:36.500
Squaw Valley 1960,1500m-women,17,FRA,Françoise Lucas,00:02:36.600
Squaw Valley 1960,1500m-women,18,USA,Barbara Lockhart,00:02:37.000
Squaw Valley 1960,1500m-women,19,JPN,Hatsue Nagakubo Takamizawa,00:02:43.700
Squaw Valley 1960,1500m-women,20,CAN,Margaret A. Robb,00:02:48.600
Squaw Valley 1960,1500m-women,21,KOR,Kyung Hoy Kim,00:02:48.600
Squaw Valley 1960,1500m-women,22,GER,Gisela Toews,00:02:51.100
Squaw Valley 1960,1500m-women,23,KOR,Hye Ja Han,00:02:55.600
Squaw Valley 1960,3000m-women,1,URS,Lidiya Skoblikova,00:05:14.300
Squaw Valley 1960,3000m-women,2,URS,Valentina Stenina,00:05:16.900
Squaw Valley 1960,3000m-women,3,FIN,Eevi Huttunen,00:05:21.000
Squaw Valley 1960,3000m-women,4,JPN,Hatsue Nagakubo Takamizawa,00:05:21.400
Squaw Valley 1960,3000m-women,5,SWE,Christina Scherling,00:05:25.500
Squaw Valley 1960,3000m-women,6,POL,Helena Pilejczyk,00:05:26.200
Squaw Valley 1960,3000m-women,7,POL,Elwira Seroczynska,00:05:27.300
Squaw Valley 1960,3000m-women,8,USA,Jeanne Ashworth,00:05:28.500
Squaw Valley 1960,3000m-women,9,URS,Tamara Rylova,00:05:30.000
Squaw Valley 1960,3000m-women,10,JPN,Yoshiko Takano,00:05:30.900
Squaw Valley 1960,3000m-women,11,SWE,Elsa Einarsson,00:05:32.200
Squaw Valley 1960,3000m-women,12,FIN,Iris H. Sihvonen,00:05:35.200
Squaw Valley 1960,3000m-women,13,GER,Inge Görmer,00:05:37.500
Squaw Valley 1960,3000m-women,14,CAN,Doreen Ryan,00:05:39.700
Squaw Valley 1960,3000m-women,15,FRA,Françoise Lucas,00:05:42.500
Squaw Valley 1960,3000m-women,16,CAN,Margaret A. Robb,00:05:43.500
Squaw Valley 1960,3000m-women,17,GER,Gisela Toews,00:05:48.300
Squaw Valley 1960,3000m-women,18,USA,Cornelia Harrington,00:05:57.500
Squaw Valley 1960,3000m-women,19,USA,Beverly Buhr,00:06:03.100
Squaw Valley 1960,3000m-women,20,KOR,Kyung Hoy Kim,00:06:08.200
Squaw Valley 1960,5000m-men,1,URS,Viktor Kosichkin,00:07:51.300
Squaw Valley 1960,5000m-men,2,NOR,Knut Johannesen,00:08:00.800
Squaw Valley 1960,5000m-men,3,NED,Janis Pesman,00:08:05.100
Squaw Valley 1960,5000m-men,4,NOR,Torstein Seiersten,00:08:05.300
Squaw Valley 1960,5000m-men,5,URS,Valeri Kotov,00:08:05.400
Squaw Valley 1960,5000m-men,6,URS,Oleg Goncharenko,00:08:06.600
Squaw Valley 1960,5000m-men,7,SWE,Ivar Nilsson,00:08:09.100
Squaw Valley 1960,5000m-men,7,FIN,Keijo Tapiovaara,00:08:09.100
Squaw Valley 1960,5000m-men,9,FRA,André Kouprianoff,00:08:10.400
Squaw Valley 1960,5000m-men,10,FRA,Raymond Gilloz,00:08:11.500
Squaw Valley 1960,5000m-men,11,GBR,Terence Monaghan,00:08:15.300
Squaw Valley 1960,5000m-men,12,SWE,Kjell Bäckman,00:08:16.000
Squaw Valley 1960,5000m-men,13,SWE,Sven Olof Dahlberg,00:08:17.000
Squaw Valley 1960,5000m-men,14,USA,Arnold H. Uhrlass,00:08:18.000
Squaw Valley 1960,5000m-men,15,FIN,Juhani Jouko Järvinen,00:08:19.200
Squaw Valley 1960,5000m-men,16,ITA,Mario Gios,00:08:20.300
Squaw Valley 1960,5000m-men,17,USA,Richard Howard Hunt,00:08:21.300
Squaw Valley 1960,5000m-men,18,AUT,Hermann Strutz,00:08:21.900
Squaw Valley 1960,5000m-men,19,NED,Jeen Van Den Berg,00:08:22.400
Squaw Valley 1960,5000m-men,20,NED,Cornelis Broekman,00:08:22.900
Squaw Valley 1960,5000m-men,21,FIN,Leo Tynkkynen,00:08:24.300
Squaw Valley 1960,5000m-men,22,GER,Helmut Kuhnert,00:08:25.100
Squaw Valley 1960,5000m-men,23,JPN,Takeo Mizoo,00:08:28.700
Squaw Valley 1960,5000m-men,24,JPN,Shuji Kobayashi,00:08:29.800
Squaw Valley 1960,5000m-men,25,NOR,Roald Aas,00:08:30.100
Squaw Valley 1960,5000m-men,26,ITA,Renato De Riva,00:08:32.400
Squaw Valley 1960,5000m-men,27,DEN,Kurt R. Stille,00:08:33.000
Squaw Valley 1960,5000m-men,28,CAN,Ralf Olin,00:08:36.800
Squaw Valley 1960,5000m-men,29,AUT,Franz Offenberger,00:08:38.200
Squaw Valley 1960,5000m-men,30,USA,Floyd Curtis Bedbury,00:08:39.600
Squaw Valley 1960,5000m-men,31,ITA,Antonio Nitto,00:08:40.400
Squaw Valley 1960,5000m-men,32,GER,Josef Biebl,00:08:48.000
Squaw Valley 1960,5000m-men,33,GBR,Thomas Alfred Malkin,00:08:56.100
Squaw Valley 1960,5000m-men,34,KOR,Young Bai Choi,00:08:57.800
Squaw Valley 1960,5000m-men,35,KOR,In Won Jang,00:09:01.600
Squaw Valley 1960,5000m-men,36,GER,Heinz Wolfram,00:09:18.200
Squaw Valley 1960,5000m-men,37,CAN,Larry Mason,00:09:23.500
Squaw Valley 1960,10000m-men,1,NOR,Knut Johannesen,00:15:46.600
Squaw Valley 1960,10000m-men,2,URS,Viktor Kosichkin,00:15:49.200
Squaw Valley 1960,10000m-men,3,SWE,Kjell Bäckman,00:16:14.200
Squaw Valley 1960,10000m-men,4,SWE,Ivar Nilsson,00:16:26.000
Squaw Valley 1960,10000m-men,5,GBR,Terence Monaghan,00:16:31.600
Squaw Valley 1960,10000m-men,6,NOR,Torstein Seiersten,00:16:33.400
Squaw Valley 1960,10000m-men,7,SWE,Sven Olof Dahlberg,00:16:34.600
Squaw Valley 1960,10000m-men,8,FIN,Juhani Jouko Järvinen,00:16:35.400
Squaw Valley 1960,10000m-men,9,FIN,Keijo Tapiovaara,00:16:37.200
Squaw Valley 1960,10000m-men,10,USA,Ross B. Zucco,00:16:37.600
Squaw Valley 1960,10000m-men,11,FRA,André Kouprianoff,00:16:39.100
Squaw Valley 1960,10000m-men,12,NED,Janis Pesman,00:16:41.000
Squaw Valley 1960,10000m-men,13,GER,Helmut Kuhnert,00:16:43.400
Squaw Valley 1960,10000m-men,14,ITA,Renato De Riva,00:16:45.700
Squaw Valley 1960,10000m-men,15,USA,Arnold H. Uhrlass,00:16:49.300
Squaw Valley 1960,10000m-men,16,NED,Cornelis Broekman,00:16:59.900
Squaw Valley 1960,10000m-men,17,DEN,Kurt R. Stille,00:17:00.000
Squaw Valley 1960,10000m-men,18,ITA,Mario Gios,00:17:06.300
Squaw Valley 1960,10000m-men,19,AUT,Hermann Strutz,00:17:06.500
Squaw Valley 1960,10000m-men,20,URS,Vladimir Shilykovsky,00:17:13.900
Squaw Valley 1960,10000m-men,21,JPN,Shuji Kobayashi,00:17:20.800
Squaw Valley 1960,10000m-men,22,NED,Jeen Van Den Berg,00:17:23.500
Squaw Valley 1960,10000m-men,23,NOR,Roald Aas,00:17:26.800
Squaw Valley 1960,10000m-men,24,FIN,Leo Tynkkynen,00:17:33.600
Squaw Valley 1960,10000m-men,25,JPN,Takeo Mizoo,00:17:42.000
Squaw Valley 1960,10000m-men,26,KOR,In Won Jang,00:17:45.700
Squaw Valley 1960,10000m-men,27,CAN,Ralf Olin,00:17:50.900
Squaw Valley 1960,10000m-men,28,KOR,Young Bai Choi,00:18:15.500
Squaw Valley 1960,10000m-men,29,GER,Heinz Wolfram,00:18:37.000
Innsbruck 1964,500m-men,1,USA,Richard Mcdermott,40.100
Innsbruck 1964,500m-men,2,NOR,Alv Gjestvang,40.600
Innsbruck 1964,500m-men,2,URS,Yevgeny Grishin,40.600
Innsbruck 1964,500m-men,2,URS,Vladimir Orlov,40.600
Innsbruck 1964,500m-men,5,JPN,Keiichi Suzuki,40.700
Innsbruck 1964,500m-men,6,USA,"Eddie Rudolph, Jr.",40.900
Innsbruck 1964,500m-men,7,SWE,Heike Hedlund,41.000
Innsbruck 1964,500m-men,8,USA,William Disney,41.100
Innsbruck 1964,500m-men,8,NOR,Villy Haugen,41.100
Innsbruck 1964,500m-men,10,NOR,Hroar Elvenes,41.400
Innsbruck 1964,500m-men,10,FRA,Raymond Fonvieille,41.400
Innsbruck 1964,500m-men,10,URS,Rafael Grach,41.400
Innsbruck 1964,500m-men,10,FIN,Simo Rinne,41.400
Innsbruck 1964,500m-men,14,USA,Thomas James Gray,41.500
Innsbruck 1964,500m-men,15,URS,Boris Gulayev,41.700
Innsbruck 1964,500m-men,16,GER,Helmut Kuhnert,41.800
Innsbruck 1964,500m-men,16,FIN,Pekka Lattunen,41.800
Innsbruck 1964,500m-men,16,JPN,Fumio Nagakubo,41.800
Innsbruck 1964,500m-men,19,FIN,Juhani Jouko Järvinen,41.900
Innsbruck 1964,500m-men,19,PRK,Zin Hook Kim,41.900
Innsbruck 1964,500m-men,21,NOR,Magne Thomassen,42.000
Innsbruck 1964,500m-men,22,SWE,Björn Lekman,42.100
Innsbruck 1964,500m-men,23,FIN,Toivo Salonen,42.200
Innsbruck 1964,500m-men,24,GER,Herbert Höfl,42.300
Innsbruck 1964,500m-men,24,GER,Günter Tilch,42.300
Innsbruck 1964,500m-men,26,FRA,André Kouprianoff,42.500
Innsbruck 1964,500m-men,27,GBR,Thomas Alfred Malkin,42.600
Innsbruck 1964,500m-men,27,SWE,Bo Ollander,42.600
Innsbruck 1964,500m-men,29,SWE,Manne Lavaas,42.700
Innsbruck 1964,500m-men,30,PRK,Sung Ryool Ri,43.000
Innsbruck 1964,500m-men,31,ITA,Elio Locatelli,43.100
Innsbruck 1964,500m-men,32,TCH,Oldrich Teply,43.200
Innsbruck 1964,500m-men,33,BEL,François Brueren,43.400
Innsbruck 1964,500m-men,33,GER,Günter Traub,43.400
Innsbruck 1964,500m-men,35,AUT,Manfred Zojer,43.500
Innsbruck 1964,500m-men,36,AUT,Peter Toyfl,43.700
Innsbruck 1964,500m-men,37,HUN,Mihaly Martos,44.000
Innsbruck 1964,500m-men,38,MGL,Dashnyam Luvsanlkhagvyn,44.100
Innsbruck 1964,500m-men,39,CAN,Ralf Olin,44.200
Innsbruck 1964,500m-men,40,HUN,György Ivankai,44.300
Innsbruck 1964,500m-men,41,JPN,Satoshi Shinpo,44.400
Innsbruck 1964,500m-men,42,KOR,Young Bai Choi,44.800
Innsbruck 1964,500m-men,43,SUI,Jean Pierre Gueron,44.900
Innsbruck 1964,500m-men,44,GBR,Thomas Bryce Dawson,45.200
Innsbruck 1964,500m-women,1,URS,Lidiya Skoblikova,45.000
Innsbruck 1964,500m-women,2,URS,Irina Yegorova,45.400
Innsbruck 1964,500m-women,3,URS,Tatyana Sidorova,45.500
Innsbruck 1964,500m-women,4,USA,Jeanne Ashworth,46.200
Innsbruck 1964,500m-women,4,USA,Janice Smith,46.200
Innsbruck 1964,500m-women,6,SWE,Gunilla Jacobsson,46.500
Innsbruck 1964,500m-women,7,USA,Janice Lawler,46.600
Innsbruck 1964,500m-women,8,GER,Helga Haase,47.200
Innsbruck 1964,500m-women,9,SWE,Inger Eriksson,47.300
Innsbruck 1964,500m-women,10,CAN,Doreen Ryan,47.700
Innsbruck 1964,500m-women,11,SWE,Christina Scherling,47.800
Innsbruck 1964,500m-women,12,JPN,Hatsue Nagakubo Takamizawa,47.900
Innsbruck 1964,500m-women,13,CAN,Doreen Mccannell,48.000
Innsbruck 1964,500m-women,13,FIN,Kaija Mustonen,48.000
Innsbruck 1964,500m-women,15,PRK,Choon Za Ryoo,48.400
Innsbruck 1964,500m-women,16,FIN,Kaija Liisa Keskivitikka,48.800
Innsbruck 1964,500m-women,16,POL,Elwira Seroczynska,48.800
Innsbruck 1964,500m-women,18,FRA,Françoise Lucas,48.900
Innsbruck 1964,500m-women,19,JPN,Yasuko Takano,49.300
Innsbruck 1964,500m-women,20,KOR,Hei Sook Kim,49.600
Innsbruck 1964,500m-women,21,GER,Brigitte Reichert,49.800
Innsbruck 1964,500m-women,22,POL,Adelhajda Mroske,49.900
Innsbruck 1964,500m-women,23,POL,Helena Pilejczyk,50.100
Innsbruck 1964,500m-women,24,JPN,Kaneko Takahashi,50.500
Innsbruck 1964,500m-women,25,GER,Siegrit Behrenz,50.900
Innsbruck 1964,500m-women,25,HUN,Kornélia Ihász,50.900
Innsbruck 1964,500m-women,27,TCH,Jarmila Stastna,52.000
Innsbruck 1964,500m-women,28,PRK,Pil Hwa Han,58.500
Innsbruck 1964,1000m-women,1,URS,Lidiya Skoblikova,00:01:33.200
Innsbruck 1964,1000m-women,2,URS,Irina Yegorova,00:01:34.300
Innsbruck 1964,1000m-women,3,FIN,Kaija Mustonen,00:01:34.800
Innsbruck 1964,1000m-women,4,GER,Helga Haase,00:01:35.700
Innsbruck 1964,1000m-women,5,URS,Valentina Stenina,00:01:36.000
Innsbruck 1964,1000m-women,6,SWE,Gunilla Jacobsson,00:01:36.500
Innsbruck 1964,1000m-women,7,USA,Janice Smith,00:01:36.700
Innsbruck 1964,1000m-women,8,FIN,Kaija Liisa Keskivitikka,00:01:37.600
Innsbruck 1964,1000m-women,9,SWE,Inger Eriksson,00:01:37.800
Innsbruck 1964,1000m-women,10,USA,Barbara Lockhart,00:01:38.600
Innsbruck 1964,1000m-women,11,USA,Jeanne Ashworth,00:01:38.700
Innsbruck 1964,1000m-women,11,CAN,Doreen Ryan,00:01:38.700
Innsbruck 1964,1000m-women,13,CAN,Doreen Mccannell,00:01:39.400
Innsbruck 1964,1000m-women,14,SWE,Christina Scherling,00:01:39.500
Innsbruck 1964,1000m-women,15,POL,Helena Pilejczyk,00:01:39.800
Innsbruck 1964,1000m-women,16,PRK,Choon Za Ryoo,00:01:40.000
Innsbruck 1964,1000m-women,17,NED,Willy De Beer,00:01:40.100
Innsbruck 1964,1000m-women,18,JPN,Kaneko Takahashi,00:01:40.500
Innsbruck 1964,1000m-women,19,FRA,Françoise Lucas,00:01:41.300
Innsbruck 1964,1000m-women,20,JPN,Yasuko Takano,00:01:41.600
Innsbruck 1964,1000m-women,21,POL,Adelhajda Mroske,00:01:41.700
Innsbruck 1964,1000m-women,22,POL,Elwira Seroczynska,00:01:42.100
Innsbruck 1964,1000m-women,23,GER,Erika Heinicke,00:01:43.200
Innsbruck 1964,1000m-women,24,MGL,Lkhamjav Tsedenjavyn,00:01:43.500
Innsbruck 1964,1000m-women,25,GER,Brigitte Reichert,00:01:44.900
Innsbruck 1964,1000m-women,26,KOR,Hei Sook Kim,00:01:45.100
Innsbruck 1964,1000m-women,27,TCH,Jarmila Stastna,00:01:45.800
Innsbruck 1964,1500m-men,1,URS,Ants Antson,00:02:10.300
Innsbruck 1964,1500m-men,2,NED,Cornelis Verkerk,00:02:10.600
Innsbruck 1964,1500m-men,3,NOR,Villy Haugen,00:02:11.200
Innsbruck 1964,1500m-men,4,FIN,Jouko Ilmari Launonen,00:02:11.900
Innsbruck 1964,1500m-men,5,URS,Lev Zaitzev,00:02:12.100
Innsbruck 1964,1500m-men,6,NOR,Ivar Eriksen,00:02:12.200
Innsbruck 1964,1500m-men,6,URS,Eduard Matusevich,00:02:12.200
Innsbruck 1964,1500m-men,8,FIN,Juhani Jouko Järvinen,00:02:12.400
Innsbruck 1964,1500m-men,9,NOR,Magne Thomassen,00:02:12.500
Innsbruck 1964,1500m-men,10,NED,Rudi Liebrechts,00:02:12.800
Innsbruck 1964,1500m-men,11,URS,Yevgeny Grishin,00:02:13.300
Innsbruck 1964,1500m-men,11,GBR,Thomas Alfred Malkin,00:02:13.300
Innsbruck 1964,1500m-men,13,NED,Ard Schenk,00:02:13.400
Innsbruck 1964,1500m-men,14,PRK,Sung Ryool Ri,00:02:13.900
Innsbruck 1964,1500m-men,15,USA,Richard Howard Hunt,00:02:14.400
Innsbruck 1964,1500m-men,16,NOR,Nils Egil Aaness,00:02:14.600
Innsbruck 1964,1500m-men,17,GER,Günter Traub,00:02:15.300
Innsbruck 1964,1500m-men,18,SWE,Örjan Sandler,00:02:15.400
Innsbruck 1964,1500m-men,19,FIN,Jouko Ilmari Jokinen,00:02:15.600
Innsbruck 1964,1500m-men,19,SWE,Ivar Nilsson,00:02:15.600
Innsbruck 1964,1500m-men,21,ITA,Renato De Riva,00:02:15.700
Innsbruck 1964,1500m-men,22,FRA,André Kouprianoff,00:02:15.800
Innsbruck 1964,1500m-men,23,FIN,Seppo Hänninen,00:02:16.000
Innsbruck 1964,1500m-men,24,SWE,Manne Lavaas,00:02:16.200
Innsbruck 1964,1500m-men,25,USA,Howard Wayne Campbell,00:02:16.400
Innsbruck 1964,1500m-men,26,GER,Herbert Höfl,00:02:16.800
Innsbruck 1964,1500m-men,26,USA,"Eddie Rudolph, Jr.",00:02:16.800
Innsbruck 1964,1500m-men,28,SWE,Bo Ollander,00:02:17.100
Innsbruck 1964,1500m-men,29,GER,Gerhard Zimmermann,00:02:17.300
Innsbruck 1964,1500m-men,30,DEN,Kurt R. Stille,00:02:17.400
Innsbruck 1964,1500m-men,31,JPN,Keiichi Suzuki,00:02:17.500
Innsbruck 1964,1500m-men,32,TCH,Oldrich Teply,00:02:17.900
Innsbruck 1964,1500m-men,33,AUT,Hermann Strutz,00:02:18.000
Innsbruck 1964,1500m-men,34,JPN,Satoshi Shinpo,00:02:18.500
Innsbruck 1964,1500m-men,35,ITA,Elio Locatelli,00:02:19.000
Innsbruck 1964,1500m-men,36,PRK,Zin Hook Kim,00:02:19.400
Innsbruck 1964,1500m-men,37,CAN,Ralf Olin,00:02:19.700
Innsbruck 1964,1500m-men,38,HUN,György Ivankai,00:02:19.900
Innsbruck 1964,1500m-men,39,GER,Jürgen Schmidt,00:02:20.000
Innsbruck 1964,1500m-men,40,KOR,Young Bai Choi,00:02:20.300
Innsbruck 1964,1500m-men,41,JPN,Toyofumi Aruga,00:02:20.700
Innsbruck 1964,1500m-men,42,USA,Floyd Curtis Bedbury,00:02:21.300
Innsbruck 1964,1500m-men,43,FRA,Raymond Fonvieille,00:02:22.600
Innsbruck 1964,1500m-men,44,SUI,Ruedi Uster,00:02:23.400
Innsbruck 1964,1500m-men,45,GBR,Anthony Bullen,00:02:23.700
Innsbruck 1964,1500m-men,46,MGL,Dashnyam Luvsanlkhagvyn,00:02:23.900
Innsbruck 1964,1500m-men,47,CAN,Gérald Koning,00:02:24.000
Innsbruck 1964,1500m-men,48,AUT,Peter Toyfl,00:02:24.200
Innsbruck 1964,1500m-men,49,GBR,Thomas Bryce Dawson,00:02:26.400
Innsbruck 1964,1500m-men,50,HUN,Mihaly Martos,00:02:26.800
Innsbruck 1964,1500m-men,51,AUT,Josef Reisinger,00:02:27.800
Innsbruck 1964,1500m-men,52,KOR,Nam Yeon Choi,00:02:30.200
Innsbruck 1964,1500m-men,53,SUI,Jean Pierre Gueron,00:02:32.300
Innsbruck 1964,1500m-women,1,URS,Lidiya Skoblikova,00:02:22.600
Innsbruck 1964,1500m-women,2,FIN,Kaija Mustonen,00:02:25.500
Innsbruck 1964,1500m-women,3,URS,Berta Kolokoltseva,00:02:27.100
Innsbruck 1964,1500m-women,4,PRK,Song Soon Kim,00:02:27.700
Innsbruck 1964,1500m-women,5,GER,Helga Haase,00:02:28.600
Innsbruck 1964,1500m-women,6,SWE,Christina Scherling,00:02:29.400
Innsbruck 1964,1500m-women,7,URS,Valentina Stenina,00:02:29.900
Innsbruck 1964,1500m-women,8,FIN,Kaija Liisa Keskivitikka,00:02:30.000
Innsbruck 1964,1500m-women,9,PRK,Pil Hwa Han,00:02:30.100
Innsbruck 1964,1500m-women,10,JPN,Hatsue Nagakubo Takamizawa,00:02:30.900
Innsbruck 1964,1500m-women,11,SWE,Gunilla Jacobsson,00:02:31.900
Innsbruck 1964,1500m-women,12,SWE,Inger Eriksson,00:02:32.000
